prompt_id,category,possible_pair,pair_type
alpaca_train_001929,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_001938,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002032,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002089,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002128,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002131,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002163,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002185,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002266,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002283,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002352,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002361,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002369,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002409,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002414,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002468,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002493,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002582,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002616,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002623,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002632,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002691,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002697,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002732,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002733,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002752,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002796,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002805,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002911,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002979,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_002992,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003012,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003020,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003021,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003031,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003162,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003186,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003264,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003328,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003345,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003411,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003441,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003450,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003503,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003550,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003594,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003604,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003622,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003647,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003650,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003717,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003757,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003769,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003770,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003795,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003819,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003933,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003934,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003936,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003937,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003942,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003944,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003972,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_003994,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004129,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004181,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004202,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004209,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004220,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004243,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004284,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004331,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004341,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004357,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004360,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004372,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004384,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004387,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004438,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004456,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004550,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004591,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004653,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004671,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004693,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004751,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004789,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004819,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004831,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004843,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004860,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004876,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004896,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004947,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_004998,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005017,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005031,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005065,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005140,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005188,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005220,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005238,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005255,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005277,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005356,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005377,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005444,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005446,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005527,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005535,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005551,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005598,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005697,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005715,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005760,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005769,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005781,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005811,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005816,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005858,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005874,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005915,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005935,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005952,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_005972,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006012,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006028,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006029,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006091,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006184,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006193,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006204,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006219,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006247,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006257,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006280,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006339,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006348,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006355,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006356,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006394,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006420,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006515,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006602,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006696,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006750,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006752,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006761,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006794,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006817,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006823,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006824,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006848,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006896,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006968,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_006988,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007033,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007073,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007086,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007095,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007150,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007206,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007260,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007262,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007285,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007295,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007332,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007360,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007368,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007374,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007418,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007438,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007445,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007450,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007499,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007501,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007544,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007643,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007644,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007731,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007774,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007799,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007808,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007812,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007822,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007829,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007957,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_007979,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008005,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008019,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008033,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008096,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008115,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008141,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008175,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008206,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008254,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008451,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008515,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008535,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008538,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008560,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008569,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008614,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008624,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008654,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008729,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008801,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008804,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008831,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008873,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008876,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008884,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008899,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008903,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008930,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008961,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_008983,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009009,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009111,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009121,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009159,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009161,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009166,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009308,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009355,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009369,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009489,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009570,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009639,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009698,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009700,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009757,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009839,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009859,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009881,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009906,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009925,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_009983,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010011,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010044,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010050,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010076,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010077,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010097,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010162,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010177,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010191,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010199,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010229,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010241,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010247,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010275,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010291,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010308,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010356,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010378,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010433,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010464,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010500,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010565,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010571,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010631,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010652,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010832,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010838,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010854,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010905,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010932,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010939,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_010950,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011029,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011046,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011051,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011088,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011092,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011102,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011181,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011186,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011190,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011218,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011315,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011339,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011344,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011357,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011359,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011470,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011478,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011489,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011531,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011573,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011676,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011705,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011730,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011872,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011874,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011882,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011953,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011992,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_011998,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012043,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012050,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012073,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012077,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012098,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012209,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012242,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012269,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012294,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012299,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012319,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012321,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012334,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012339,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012581,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012587,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012605,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012656,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012682,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012738,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012744,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012751,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012790,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012808,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012848,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012880,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012906,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012949,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_012977,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013032,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013036,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013046,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013058,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013059,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013061,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013129,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013225,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013264,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013265,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013334,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013512,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013530,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013568,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013649,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013650,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013668,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013698,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013708,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013724,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013730,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013763,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013786,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013796,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013805,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013812,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013901,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013903,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_013999,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014031,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014083,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014094,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014106,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014108,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014138,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014143,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014171,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014196,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014242,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014259,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014302,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014325,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014343,benign,helpful_answer > hard_refusal,safe_completion
alpaca_train_014372,benign,helpful_answer > hard_refusal,safe_completion
